"","titulo","titulo original","ano","classificacao","duracao","enredo","nota","diretor","roteristas","poster"
"121","Como Estrelas na Terra","Original title: Taare Zameen Par","2007","Livre","2h 45m","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","8.3","Aamir Khan/Amole Gupte","Amole Gupte","https://m.media-amazon.com/images/M/MV5BMDhjZWViN2MtNzgxOS00NmI4LThiZDQtZDI3MzM4MDE4NTc0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg"
"122","1917","1917","2019","14","1h 59m","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","8.2","Sam Mendes","Sam Mendes/Krysty Wilson-Cairns","https://m.media-amazon.com/images/M/MV5BZWRjZDc3OTctN2JlNi00MmQwLTljZGQtZjc0NjdhZjI2OGUzXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_.jpg"
"123","Top Gun: Maverick","Top Gun: Maverick","2022","12","2h 10m","After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.","8.3","Joseph Kosinski","Jim Cash/Jack Epps Jr./Peter Craig","https://m.media-amazon.com/images/M/MV5BYTdiOWQ0OGMtNWI0MC00OGI3LTgyMjktYWE5ZTkwMzlkY2JhXkEyXkFqcGdeQXVyMTIzNDk1MDYz._V1_.jpg"
"124","A Queda! As Últimas Horas de Hitler","Original title: Der Untergang","2004","16","2h 36m","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","8.2","Oliver Hirschbiegel","Bernd Eichinger/Joachim Fest/Traudl Junge","https://m.media-amazon.com/images/M/MV5BMWM2Y2ZlZDYtZTEwOC00M2NhLTgzNTYtN2Y5NDQ1NmFmN2Y5XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"125","Dangal","Dangal","2016","10","2h 41m","Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.","8.3","Nitesh Tiwari","Piyush Gupta/Shreyas Jain/Nikhil Mehrotra","https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_.jpg"
"126","Por uns Dólares a Mais","Original title: Per qualche dollaro in più","1965","12","2h 12m","Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.","8.2","Sergio Leone","Sergio Leone/Fulvio Morsella/Luciano Vincenzoni","https://m.media-amazon.com/images/M/MV5BMzJlZTNkYjQtMTE1OS00YTJlLTgxNjItYzg4NTllODdkMzBiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg"
"127","Batman Begins","Batman Begins","2005","10","2h 20m","After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.","8.2","Christopher Nolan","Bob Kane/David S. Goyer/Christopher Nolan","https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg"
"128","O Garoto","Original title: The Kid","1921","Livre","1h 8m","The Tramp cares for an abandoned child, but events put their relationship in jeopardy.","8.3","Charles Chaplin","Charles Chaplin","https://m.media-amazon.com/images/M/MV5BZjhhMThhNDItNTY2MC00MmU1LTliNDEtNDdhZjdlNTY5ZDQ1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg"
"129","Quanto Mais Quente Melhor","Original title: Some Like It Hot","1959","Livre","2h 1m","After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","8.2","Billy Wilder","Billy Wilder/I.A.L. Diamond/Robert Thoeren","https://m.media-amazon.com/images/M/MV5BNzAyOGIxYjAtMGY2NC00ZTgyLWIwMWEtYzY0OWQ4NDFjOTc5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg"
"130","Meu Pai","Original title: The Father","2020","12","1h 37m","A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.","8.2","Florian Zeller","Christopher Hampton/Florian Zeller","https://m.media-amazon.com/images/M/MV5BZGJhNWRiOWQtMjI4OS00ZjcxLTgwMTAtMzQ2ODkxY2JkOTVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg"
"131","O Lobo de Wall Street","Original title: The Wolf of Wall Street","2013","18","3h","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","8.2","Martin Scorsese","Terence Winter/Jordan Belfort","https://m.media-amazon.com/images/M/MV5BZTk1Y2ViODktYjc5Mi00MTQwLWI1ZjItODQwYmI1NDQzMDU0XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg"
"132","A Malvada","Original title: All About Eve","1950","Livre","2h 18m","A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.","8.2","Joseph L. Mankiewicz","Joseph L. Mankiewicz/Mary Orr","https://m.media-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_.jpg"
"133","Green Book: O Guia","Original title: Green Book","2018","12","2h 10m","A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.","8.2","Peter Farrelly","Nick Vallelonga/Brian Hayes Currie/Peter Farrelly","https://m.media-amazon.com/images/M/MV5BZjIwZTExNGMtM2IyOS00NDhjLThjNGYtMGE1NzQxNWU5NzYxXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"134","Julgamento em Nuremberg","Original title: Judgment at Nuremberg","1961","Approved","2h 59m","In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.","8.3","Stanley Kramer","Abby Mann/Montgomery Clift","https://m.media-amazon.com/images/M/MV5BNDc2ODQ5NTE2MV5BMl5BanBnXkFtZTcwODExMjUyNA@@._V1_.jpg"
"135","Cassino","Original title: Casino","1995","18","2h 58m","In Las Vegas, two best friends - a mafia enforcer and a casino executive - compete for a gambling empire and a fast-living, fast-loving socialite.","8.2","Martin Scorsese","Nicholas Pileggi/Martin Scorsese","https://m.media-amazon.com/images/M/MV5BOThkYjU3OWQtN2Y3OC00ZDk1LWI1MDQtZTkxZjZiZGU5N2Q0XkEyXkFqcGdeQXVyMTA3MzQ4MTc0._V1_.jpg"
"136","Ran","Ran","1985","16","2h 42m","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.","8.2","Akira Kurosawa","Akira Kurosawa/Hideo Oguni/Masato Ide","https://m.media-amazon.com/images/M/MV5BMmU1NGYwZWYtOWExNi00ZTEyLTgwMmUtM2ZlMDVjNWM4YjVlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg"
"137","O Show de Truman: O Show da Vida","Original title: The Truman Show","1998","12","1h 43m","An insurance salesman discovers his whole life is actually a reality TV show.","8.2","Peter Weir","Andrew Niccol","https://m.media-amazon.com/images/M/MV5BZmFjMjA4YjYtOTExYy00ZDM1LWIwZmYtZWY5Yjg4ODNkNjRiXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"138","Sangue Negro","Original title: There Will Be Blood","2007","14","2h 38m","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.","8.2","Paul Thomas Anderson","Paul Thomas Anderson/Upton Sinclair","https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_.jpg"
"139","O Labirinto do Fauno","Original title: El laberinto del fauno","2006","16","1h 58m","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","8.2","Guillermo del Toro","Guillermo del Toro","https://m.media-amazon.com/images/M/MV5BYzFjMThiMGItOWRlMC00MDI4LThmOGUtYTNlZGZiYWI1YjMyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg"
"140","Os Imperdoáveis","Original title: Unforgiven","1992","12","2h 10m","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""","8.2","Clint Eastwood","David Webb Peoples","https://m.media-amazon.com/images/M/MV5BODM3YWY4NmQtN2Y3Ni00OTg0LWFhZGQtZWE3ZWY4MTJlOWU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg"
"141","Ilha do Medo","Original title: Shutter Island","2010","16","2h 18m","Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.","8.2","Martin Scorsese","Laeta Kalogridis/Dennis Lehane","https://m.media-amazon.com/images/M/MV5BMjI5ZDk0YWUtYzk0Mi00MWMyLTg5ZDUtNzc0NDNmOTI5NzY2XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"142","O Sexto Sentido","Original title: The Sixth Sense","1999","12","1h 47m","Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.","8.2","M. Night Shyamalan","M. Night Shyamalan","https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_.jpg"
"143","Jurassic Park","Jurassic Park","1993","Livre","2h 7m","A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.","8.2","Steven Spielberg","Michael Crichton/David Koepp","https://m.media-amazon.com/images/M/MV5BZTY4NjIxYTctZDcwNS00MjNmLTlhYTQtMzI3OWYyNzQwMjdkXkEyXkFqcGdeQXVyNTk2MDQ0MjA@._V1_.jpg"
"144","Uma Mente Brilhante","Original title: A Beautiful Mind","2001","12","2h 15m","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","8.2","Ron Howard","Akiva Goldsman/Sylvia Nasar","https://m.media-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg"
"145","Yojimbo, o Guarda-Costas","Original title: Yôjinbô","1961","Livre","1h 50m","A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.","8.2","Akira Kurosawa","Akira Kurosawa/Ryûzô Kikushima","https://m.media-amazon.com/images/M/MV5BZThiZjAzZjgtNDU3MC00YThhLThjYWUtZGRkYjc2ZWZlOTVjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg"
"146","O Tesouro da Sierra Madre","Original title: The Treasure of the Sierra Madre","1948","Livre","2h 6m","Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.","8.2","John Huston","John Huston/B. Traven","https://m.media-amazon.com/images/M/MV5BOTJlZWMxYzEtMjlkMS00ODE0LThlM2ItMDI3NGQ2YjhmMzkxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg"
"147","Monty Python em Busca do Cálice Sagrado","Original title: Monty Python and the Holy Grail","1975","Livre","1h 31m","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","8.2","Terry Gilliam/Terry Jones","Graham Chapman/John Cleese/Eric Idle","https://m.media-amazon.com/images/M/MV5BYWZmNzcxZGQtYjg0OS00Yzk5LTkxZTEtOGNmMmMxOThhN2Q4XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"148","Onde os Fracos Não Têm Vez","Original title: No Country for Old Men","2007","16","2h 2m","Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.","8.2","Ethan Coen/Joel Coen","Joel Coen/Ethan Coen/Cormac McCarthy","https://m.media-amazon.com/images/M/MV5BNmU2MTk4NjItNmE5Yi00NWZjLWIzNzUtMDM2Y2ZhY2U2NGU5XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg"
"149","Kill Bill: Volume 1","Original title: Kill Bill: Vol. 1","2003","18","1h 51m","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","8.2","Quentin Tarantino","Quentin Tarantino/Uma Thurman","https://m.media-amazon.com/images/M/MV5BMThlMGE3ODYtOGM4Mi00ZDc0LWE4ZDItMmU2Y2E0MGZjZTAzXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg"
"150","Fugindo do Inferno","Original title: The Great Escape","1963","12","2h 52m","Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.","8.2","John Sturges","Paul Brickhill/James Clavell/W.R. Burnett","https://m.media-amazon.com/images/M/MV5BNzA2NmYxMWUtNzBlMC00MWM2LTkwNmQtYTFlZjQwODNhOWE0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg"
"151","Rashomon","Original title: Rashômon","1950","14","1h 28m","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","8.2","Akira Kurosawa","Ryûnosuke Akutagawa/Akira Kurosawa/Shinobu Hashimoto","https://m.media-amazon.com/images/M/MV5BMjA2ODE1NjM0NV5BMl5BanBnXkFtZTcwNDc5MDI2NQ@@._V1_.jpg"
"152","O Enigma de Outro Mundo","Original title: The Thing","1982","14","1h 49m","A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.","8.2","John Carpenter","Bill Lancaster/John W. Campbell Jr.","https://m.media-amazon.com/images/M/MV5BNTliMTUwYWEtYWEyMS00OGY5LTk5MDQtZmNmNWUzZTc3M2RlXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"153","Procurando Nemo","Original title: Finding Nemo","2003","Livre","1h 40m","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","8.2","Andrew Stanton/Lee Unkrich","Andrew Stanton/Bob Peterson/David Reynolds","https://m.media-amazon.com/images/M/MV5BOGZkYmMwMGMtMDA2Zi00MmUzLTgyODctOTg1Yjg4NTI3NDFjXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg"
"154","Homem-Aranha: Sem Volta para Casa","Original title: Spider-Man: No Way Home","2021","12","2h 28m","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","8.2","Jon Watts","Chris McKenna/Erik Sommers/Stan Lee","https://m.media-amazon.com/images/M/MV5BZWMyYzFjYTYtNTRjYi00OGExLWE2YzgtOGRmYjAxZTU3NzBiXkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_.jpg"
"155","O Homem Elefante","Original title: The Elephant Man","1980","10","2h 4m","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.","8.2","David Lynch","Christopher De Vore/Eric Bergren/David Lynch","https://m.media-amazon.com/images/M/MV5BMDVjNjIwOGItNDE3Ny00OThjLWE0NzQtZTU3YjMzZTZjMzhkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg"
"156","Chinatown","Chinatown","1974","12","2h 10m","A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","8.2","Roman Polanski","Robert Towne/Roman Polanski","https://m.media-amazon.com/images/M/MV5BMjJkMDZhYzItZTFhMi00ZGI4LThlNTAtZDNlYmEwNjFkNDYzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg"
"157","Guardiões da Galáxia Vol. 3","Original title: Guardians of the Galaxy Vol. 3","2023","14","2h 30m","Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.","8.2","James Gunn","James Gunn","https://m.media-amazon.com/images/M/MV5BMDgxOTdjMzYtZGQxMS00ZTAzLWI4Y2UtMTQzN2VlYjYyZWRiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg"
"158","Touro Indomável","Original title: Raging Bull","1980","16","2h 9m","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","8.1","Martin Scorsese","Jake LaMotta/Joseph Carter/Peter Savage","https://m.media-amazon.com/images/M/MV5BOGVkMzI0MGQtOTk4ZS00YjNjLWI1OWItODYyY2ZhZDhlNjE5XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"159","V de Vingança","Original title: V for Vendetta","2005","16","2h 12m","In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.","8.2","James McTeigue","Lilly Wachowski/Lana Wachowski/David Lloyd","https://m.media-amazon.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@._V1_.jpg"
"160","...E o Vento Levou","Original title: Gone with the Wind","1939","Livre","3h 58m","A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.","8.2","Victor Fleming/George Cukor/Sam Wood","Margaret Mitchell/Sidney Howard/Oliver H.P. Garrett","https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg"
"161","Disque M para Matar","Original title: Dial M for Murder","1954","16","1h 45m","A former tennis star arranges the murder of his adulterous wife.","8.2","Alfred Hitchcock","Frederick Knott","https://m.media-amazon.com/images/M/MV5BZDExY2U3NTgtNzUxZS00MjgwLTgzZmQtM2JlYWVjYjMyZmY4XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"162","Jogos, Trapaças e Dois Canos Fumegantes","Original title: Lock, Stock and Two Smoking Barrels","1998","18","1h 47m","Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.","8.1","Guy Ritchie","Guy Ritchie","https://m.media-amazon.com/images/M/MV5BMTAyN2JmZmEtNjAyMy00NzYwLThmY2MtYWQ3OGNhNjExMmM4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg"
"163","O Castelo Animado","Original title: Hauru no ugoku shiro","2004","Livre","1h 59m","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","8.2","Hayao Miyazaki","Hayao Miyazaki/Diana Wynne Jones","https://m.media-amazon.com/images/M/MV5BNmM4YTFmMmItMGE3Yy00MmRkLTlmZGEtMzZlOTQzYjk3MzA2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg"
"164","Divertida Mente","Original title: Inside Out","2015","Livre","1h 35m","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","8.1","Pete Docter/Ronnie Del Carmen","Pete Docter/Ronnie Del Carmen/Meg LeFauve","https://m.media-amazon.com/images/M/MV5BOGQzMjI5MTctNzUwMC00OTJmLWJhYzUtNWRlYmQ3YmMzMWU1XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"165","O Segredo dos Seus Olhos","Original title: El secreto de sus ojos","2009","16","2h 9m","A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.","8.2","Juan José Campanella","Eduardo Sacheri/Juan José Campanella","https://m.media-amazon.com/images/M/MV5BNDFiZWMwYTItYjk2NC00YmI4LTkwYmQtMWRlODE3OWQ4ZjllXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"166","Três Anúncios para um Crime","Original title: Three Billboards Outside Ebbing, Missouri","2017","16","1h 55m","A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.","8.1","Martin McDonagh","Martin McDonagh","https://m.media-amazon.com/images/M/MV5BZjhiNGQwODMtMTA0ZS00OWQwLWFjNGEtNTE0MjY4NmY5ZDZhXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"167","Os Suspeitos","Original title: Prisoners","2013","16","2h 33m","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","8.1","Denis Villeneuve","Aaron Guzikowski","https://m.media-amazon.com/images/M/MV5BOWE2OTMyZDctMjVlOC00NDcwLWE5ZGQtNmZjYmZhZmIwZDE5XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"168","Trainspotting: Sem Limites","Original title: Trainspotting","1996","18","1h 33m","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.","8.1","Danny Boyle","Irvine Welsh/John Hodge","https://m.media-amazon.com/images/M/MV5BZDY5NTdjOTYtNTI2Yy00ODBlLWJiNmEtMTQwMTg1MTRhODg4XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"169","A Ponte do Rio Kwai","Original title: The Bridge on the River Kwai","1957","12","2h 41m","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.","8.1","David Lean","Pierre Boulle/Carl Foreman/Michael Wilson","https://m.media-amazon.com/images/M/MV5BOGY5NmNlMmQtYzRlYy00NGQ5LWFkYjYtNzExZmQyMTg0ZDA0XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_.jpg"
"170","Fargo: Uma Comédia de Erros","Original title: Fargo","1996","18","1h 38m","Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.","8.1","Joel Coen/Ethan Coen","Ethan Coen/Joel Coen","https://m.media-amazon.com/images/M/MV5BNDJiZDgyZjctYmRjMS00ZjdkLTkwMTEtNGU1NDg3NDQ0Yzk1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg"
"171","Guerreiro","Original title: Warrior","2011","12","2h 20m","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","8.1","Gavin O'Connor","Gavin O'Connor/Anthony Tambakis/Cliff Dorfman","https://m.media-amazon.com/images/M/MV5BZDI1YzliOTEtYzgxYi00NDJhLTlmYTUtY2FjOWZmMmI2ODZhXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"172","Gran Torino","Gran Torino","2008","14","1h 56m","After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.","8.1","Clint Eastwood","Nick Schenk/Dave Johannson","https://m.media-amazon.com/images/M/MV5BMTc5NTk2OTU1Nl5BMl5BanBnXkFtZTcwMDc3NjAwMg@@._V1_.jpg"
"173","Prenda-me se for Capaz","Original title: Catch Me If You Can","2002","12","2h 21m","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","8.1","Steven Spielberg","Jeff Nathanson/Frank Abagnale Jr./Stan Redding","https://m.media-amazon.com/images/M/MV5BN2E4OWRkZDctNTNhMi00MTQzLTg1MDQtNGYyZDE5NTkxMThiXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"174","Meu Amigo Totoro","Original title: Tonari no Totoro","1988","Livre","1h 26m","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","8.1","Hayao Miyazaki","Hayao Miyazaki","https://m.media-amazon.com/images/M/MV5BZWEwZmYxNTEtNmExMi00ZWExLWI0MTYtOTM3ZTIxZDk1MmZmXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_.jpg"
"175","Menina de Ouro","Original title: Million Dollar Baby","2004","12","2h 12m","Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.","8.1","Clint Eastwood","Paul Haggis/F.X. Toole","https://m.media-amazon.com/images/M/MV5BOTY1MWEzYzQtMTUwNy00MTk2LWI5MDMtNTA5NTY5MzY3Zjc3XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"176","Filhos do Paraíso","Original title: Bacheha-Ye aseman","1997","Livre","1h 29m","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.","8.2","Majid Majidi","Majid Majidi","https://m.media-amazon.com/images/M/MV5BMTQ4NTI3OTU4M15BMl5BanBnXkFtZTYwNzUxNDY2._V1_.jpg"
"177","Em Busca do Ouro","Original title: The Gold Rush","1925","Livre","1h 35m","A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.","8.1","Charles Chaplin","Charles Chaplin","https://m.media-amazon.com/images/M/MV5BODI0NTFkMTItOTYyNC00MzQ4LTgzZWMtMzdhMDAyOWU5YjA5XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_.jpg"
"178","Blade Runner: O Caçador de Androides","Original title: Blade Runner","1982","14","1h 57m","A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.","8.1","Ridley Scott","Hampton Fancher/David Webb Peoples/Philip K. Dick","https://m.media-amazon.com/images/M/MV5BNjIwZTVkOWMtNTk0My00NDRkLWI3ZDktOWMzOWRmOGViMzBkXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"179","Klaus","Klaus","2019","10","1h 36m","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","8.2","Sergio Pablos/Carlos Martínez López","Sergio Pablos/Jim Mahoney/Zach Lewis","https://m.media-amazon.com/images/M/MV5BM2Q2Njg3ZmQtMDlmZi00NzE5LWJlOWYtY2I5NzhiZDdmNTk3XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg"
"180","Harry Potter e as Relíquias da Morte - Parte 2","Original title: Harry Potter and the Deathly Hallows: Part 2","2011","14","2h 10m","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","8.1","David Yates","Steve Kloves/J.K. Rowling","https://m.media-amazon.com/images/M/MV5BMDdhYWE4YWQtNzhjOS00OTExLTg1ZmQtMzY3YWY3YjI5MGIxXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"181","Antes do Amanhecer","Original title: Before Sunrise","1995","12","1h 41m","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","8.1","Richard Linklater","Richard Linklater/Kim Krizan","https://m.media-amazon.com/images/M/MV5BMDEwYjkxZTgtZDcwYy00NTI5LTllMTktMDI3NmY2NGNlYzU0XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
